run_dir	files	bytes	included_in_artifact
heldout_memory_baselines	188	1532808	no
pilot_external_mock	6	2193	no
pilot_memory_baselines	28	7714	no
pybughive_hard_auto_skill_first6	66	18061023	no
pybughive_hard_auto_skill_first6_runner_logs	12	714	no
pybughive_hard_format_shuffled_first6	66	13328865	no
pybughive_hard_format_shuffled_first6_runner_logs	12	810	no
pybughive_hard_smoke	385	155386235	no
pybughive_hard_smoke_batch_logs	14	2202	no
pybughive_heldout_memory_baselines	521	72966866	no
pybughive_train_trajectories	32	810244	no
