"task_id","split","project","issue_id","status","install_returncode","initial_test_returncode","reference_test_returncode","log_path","summary_path"
"pybughive_cookiecutter_1513","train","cookiecutter","1513","pilot_ready","0","1","0","workspaces/pybughive_verify_wsl_py38/pybughive_cookiecutter_1513/verify_task.log","workspaces/pybughive_verify_wsl_py38/pybughive_cookiecutter_1513/prepare_summary.json"
"pybughive_discord_py_7676","train","discord.py","7676","pilot_ready","0","1","0","workspaces/pybughive_verify_wsl_py38/pybughive_discord_py_7676/verify_task.log","workspaces/pybughive_verify_wsl_py38/pybughive_discord_py_7676/prepare_summary.json"
"pybughive_discord_py_7818","heldout","discord.py","7818","pilot_ready","0","1","0","workspaces/pybughive_verify_wsl_py38/pybughive_discord_py_7818/verify_task.log","workspaces/pybughive_verify_wsl_py38/pybughive_discord_py_7818/prepare_summary.json"
"pybughive_scrapy_1265","heldout","scrapy","1265","pilot_ready","0","2","0","workspaces/pybughive_verify_wsl_py38/pybughive_scrapy_1265/verify_task.log","workspaces/pybughive_verify_wsl_py38/pybughive_scrapy_1265/prepare_summary.json"
"pybughive_scrapy_2552","heldout","scrapy","2552","pilot_ready","0","1","0","workspaces/pybughive_verify_wsl_py38/pybughive_scrapy_2552/verify_task.log","workspaces/pybughive_verify_wsl_py38/pybughive_scrapy_2552/prepare_summary.json"
"pybughive_black_297","train","black","297","pilot_ready","0","1","0","workspaces/pybughive_verify_wsl_py37/pybughive_black_297/verify_task.log","workspaces/pybughive_verify_wsl_py37/pybughive_black_297/prepare_summary.json"
"pybughive_black_1493","heldout","black","1493","pilot_ready","0","1","0","workspaces/pybughive_verify_wsl_py37/pybughive_black_1493/verify_task.log","workspaces/pybughive_verify_wsl_py37/pybughive_black_1493/prepare_summary.json"
"pybughive_black_185","heldout","black","185","pilot_ready","0","1","0","workspaces/pybughive_verify_wsl_py37/pybughive_black_185/verify_task.log","workspaces/pybughive_verify_wsl_py37/pybughive_black_185/prepare_summary.json"
"pybughive_black_389","heldout","black","389","pilot_ready","0","1","0","workspaces/pybughive_verify_wsl_py37/pybughive_black_389/verify_task.log","workspaces/pybughive_verify_wsl_py37/pybughive_black_389/prepare_summary.json"
"pybughive_black_59","heldout","black","59","pilot_ready","0","1","0","workspaces/pybughive_verify_wsl_py37/pybughive_black_59/verify_task.log","workspaces/pybughive_verify_wsl_py37/pybughive_black_59/prepare_summary.json"
