task_id,method,n_runs,n_tasks,solved,solve_rate,cycles_per_solved_task,tokens_per_solved_task,active_tokens_per_solved_task,prompt_overhead_ratio,failed_patches_per_run,mistakes_per_cycle,repeated_mistake_rate,negative_transfer_rate,broke_existing_tests_rate
local_empty_average_bug,auto_skill,1,1,1,1.0,1.0,21240.0,20933.0,0.0145,0.0,0.0,0.0,0.0,0.0
local_empty_average_bug,format_shuffled_skill,1,1,1,1.0,1.0,27310.0,27003.0,0.0112,0.0,0.0,0.0,0.0,0.0
local_empty_average_bug,generic_checklist,1,1,1,1.0,1.0,11710.0,11299.0,0.0351,0.0,0.0,0.0,0.0,0.0
local_empty_average_bug,length_matched_reflexion,1,1,1,1.0,1.0,27925.0,27636.0,0.0103,0.0,0.0,0.0,0.0,0.0
local_empty_average_bug,no_memory,1,1,1,1.0,1.0,24248.0,24248.0,0.0,0.0,0.0,0.0,0.0,0.0
local_empty_average_bug,raw_trajectory_retrieval,1,1,1,1.0,1.0,14830.0,14561.0,0.0181,0.0,0.0,0.0,0.0,0.0
local_empty_average_bug,reflexion,1,1,1,1.0,1.0,18937.0,18816.0,0.0064,0.0,0.0,0.0,0.0,0.0
local_missing_timeout_bug,auto_skill,1,1,1,1.0,1.0,16568.0,16261.0,0.0185,0.0,0.0,0.0,0.0,0.0
local_missing_timeout_bug,format_shuffled_skill,1,1,1,1.0,1.0,15729.0,15422.0,0.0195,0.0,0.0,0.0,0.0,0.0
local_missing_timeout_bug,generic_checklist,1,1,1,1.0,1.0,16440.0,16029.0,0.025,0.0,0.0,0.0,0.0,0.0
local_missing_timeout_bug,length_matched_reflexion,1,1,1,1.0,1.0,10246.0,9957.0,0.0282,0.0,0.0,0.0,0.0,0.0
local_missing_timeout_bug,no_memory,1,1,1,1.0,1.0,7473.0,7473.0,0.0,0.0,0.0,0.0,0.0,0.0
local_missing_timeout_bug,raw_trajectory_retrieval,1,1,1,1.0,1.0,11710.0,11441.0,0.023,0.0,0.0,0.0,0.0,0.0
local_missing_timeout_bug,reflexion,1,1,1,1.0,1.0,22963.0,22842.0,0.0053,0.0,0.0,0.0,0.0,0.0
local_whitespace_title_bug,auto_skill,1,1,1,1.0,1.0,13081.0,12774.0,0.0235,0.0,0.0,0.0,0.0,0.0
local_whitespace_title_bug,format_shuffled_skill,1,1,1,1.0,1.0,10231.0,9924.0,0.03,0.0,0.0,0.0,0.0,0.0
local_whitespace_title_bug,generic_checklist,1,1,1,1.0,1.0,22608.0,22197.0,0.0182,0.0,0.0,0.0,0.0,0.0
local_whitespace_title_bug,length_matched_reflexion,1,1,1,1.0,1.0,19014.0,18725.0,0.0152,0.0,0.0,0.0,0.0,0.0
local_whitespace_title_bug,no_memory,1,1,1,1.0,1.0,15666.0,15666.0,0.0,0.0,0.0,0.0,0.0,0.0
local_whitespace_title_bug,raw_trajectory_retrieval,1,1,1,1.0,1.0,27752.0,27483.0,0.0097,0.0,0.0,0.0,0.0,0.0
local_whitespace_title_bug,reflexion,1,1,1,1.0,1.0,23910.0,23789.0,0.0051,0.0,0.0,0.0,0.0,0.0
