task_id,split,project,issue_id,title,buggy_commit,fix_commit,source_files,test_files,changed_lines,test_changed_lines,python_version,warnings,score
pybughive_black_297,train,black,297,Additional space after star unpacking,728e5a2f1ed16e2cfe0ca5586edac6c10da436c5,bbc09a4f013f2a584f143f3f5e3f76f6082367d4,black.py,tests/expression.diff;tests/expression.py,1,5,3.7,,112
pybughive_cookiecutter_1513,train,cookiecutter,1513,Error reading yaml file using `poyo` - `ValueError: Parent of ChildMixin instance needs to be a Container.`,2fd137f2c2d508cd0d194301101da7e85df6994e,cc92e3cc00a3d2acd1ef6d38cf5731478dade3cb,cookiecutter/config.py,tests/test-config/valid-config.yaml;tests/test_get_config.py;tests/test_get_user_config.py,2,14,3.8,,125
pybughive_discord_py_7676,train,discord.py,7676,tasks.loop display too many warning.,a4676804ec15d3a9c67a76563918f866cf1b49b9,abcec5da9d501a1b54b73ac0fa3870df773fa63c,discord/ext/tasks/__init__.py,tests/test_ext_tasks.py,19,27,3.8,,149
pybughive_scrapy_2552,heldout,scrapy,2552,scrapy.Request no init error on invalid url,1d5c270ce8caf954ce83c8db262e2a35707e0c5e,f701f5b0db10faef08e4ed9a21b98fd72f9cfc9a,scrapy/http/request/__init__.py,tests/test_http_request.py,2,2,3.8,,107
pybughive_black_185,heldout,black,185,Trailing comma after from .. import,c6a6cfd3a293a69c29f93beca1c64bd857371e14,dc0c14240e7423d9ada002835dcc195f8c6d8797,black.py,tests/import_spacing.py,11,4,3.7,,118
pybughive_discord_py_7818,heldout,discord.py,7818,Unable to create nested groups with explicit parent set,c67130821151266e6b6855b8ce0e031850bf6fbc,25ad5b675c044e67c160e8a18a4753e93efec26d,discord/app_commands/commands.py,tests/test_app_commands_group.py,15,35,3.8,,153
pybughive_scrapy_1265,heldout,scrapy,1265,Backward incompatibility for relocated paths in settings,bd2fe996aabe5467a89d9eff6831e6b0bf731be4,d52cf8bb036ce2dc6cfbe63f78cfd172cc7c888d,scrapy/utils/conf.py;scrapy/utils/deprecate.py,tests/test_utils_conf.py;tests/test_utils_deprecate.py,56,60,3.8,,322
pybughive_black_59,heldout,black,59,Internal error on a complex variable type annotation,c9f8983936a3e4bf02ae4f71e9ccd0006baa5169,a970a205bcea73672e85468836b477d3262ee75e,black.py,tests/expression.py,8,10,3.7,,121
pybughive_black_1493,heldout,black,1493,Black finds root incorrectly,f90f50a7436ca13517933c290ef007e7cb2e7258,2471b9256d9d9dfea1124d20072201693b9b0865,src/black/__init__.py,tests/test_black.py,23,22,3.7,,148
pybughive_black_389,heldout,black,389,Fails when importing __future__ as renaming it,3bdd42389128bbbe8b64a8e050563f09bff99979,dd8bde6d2fbfe8a7a11093e761a0cb5837efa96a,black.py,tests/data/python2_unicode_literals.py;tests/test_black.py,29,16,3.7,,151
